id,retweet_count,favorite_count,full_text
950173740595384321,1,2,"https://t.co/vQWCVqpAsw Amazon Echo Spot Review, Best Gear of 2017, Can You Speed Up Your VPN??? #TekThing"
951305422316756993,1,1,"NEW FEATURE: You can now ask Alexa to show your Canary Flex's video on your Echo Show, Echo Spot, or Fire TV's screen.

https://t.co/7YelglTNV3

#Canary #Alexa #Amazon #HomeSecurity https://t.co/0SWCsl7T1D"
951186556798341126,0,0,@StuffTV Thanks for your review of Echo Spot.  Out of interest did your US Spot work with your UK-based Amazon account?
949368187983945729,0,3,Enter to win an @Amazon #EchoSpot from @GeekWire &amp; @AndruEdwards! https://t.co/UsUVXZIONj #sweeps #giveaways https://t.co/abdZGILlF3
950527198733139968,0,0,Enter to win an @Amazon #EchoSpot from @GeekWire &amp; @AndruEdwards! https://t.co/xYmuzCDNGf #sweeps #giveaways https://t.co/0z9Bt0vPmW
951305066471817216,0,1,3 things I loved about Amazon's newest Echo Spot (and 3 things I didn't) Time Magazine #echo #echospot #amazon #tech #gadgets #alexa https://t.co/Oo8tyU4ryI https://t.co/YCkjJnNTok
950219023475765248,0,0,New blog post: Amazon Echo Spot Review https://t.co/yvtQw4Iujl https://t.co/hN49C7tPxf
950193637492629505,0,0,New post (Introducing Echo Spot) has been published on Tubebular - https://t.co/uCX0A8ZS4l https://t.co/d1UwOMdxkm
949377514308284417,127,21,"REGISTER NOW: @GoliathSolution live #myCUGC webinar 1/31 @ 1PM ET on How to Proactively Monitor, Troubleshoot &amp; Resolve #Citrix End User Issues–no matter where you are! Opt-in at registration to win an Amazon gift card or Echo Spot! https://t.co/K7TQkrxKfy https://t.co/Gwwi2qzwFC"
951484628740616192,0,0,Building for Echo Show and Echo Spot: VUI &amp; GUI Best Practices https://t.co/U2DBDUo3cg https://t.co/3KR5BGAvKc
949706167722348544,0,1,"Amazon Echo Spot Review, Best Gear of 2017, Can You Speed Up Your VPN??? https://t.co/CE2sZ7t83X"
949444762137976832,0,2,The #EchoSpot is hot! Everyone needs one on their #office desk. It has headphone jack output. #VoiceXP https://t.co/pTZYna4utC
952346477359190016,0,1,@Fradice we're surrounded! i have the #EchoSpot and #EchoShow at work and the #EchoDot at home. we had fun with #AskAlexa on #NewYearsEve https://t.co/fNKXO2R2YN
950143780564426757,0,0,"#EchoSpot music lyrics, weather forecasts, to-do &amp; shopping lists, browse &amp; listen to Audible audiobooks. https://t.co/O7dYZEYJkM"
949323043284901888,0,0,Alexa Tip: Turn Echo Show or Echo Spot into a Photo Frame Slideshow https://t.co/SuEOxgbHNE via @myITforum
951937912198828039,0,0,US $129.99 Echo Spot - Black https://t.co/rpaWYKAEfa #amazon #deal #echospot #amazonechospot #alexa #amazonelexa #smarthome #smarttech #smar
949700798337839105,0,2,Links + summaries for all of this week's posts https://t.co/DCJS4kwNjD #AmazonAlexa #AmazonEcho #Alexa #EchoDot #EchoSpot #smarthome https://t.co/u74t8YMmpj
951520836632170498,0,1,"An Amazon Echo device with a cute little screen too? Turns out the Amazon Echo Spot is terrific! Well, except for one glaring problem: https://t.co/DJL0TBDFhu #alexa"
949747652622798848,0,0,"New Amazon Echo unit? This will walk you through all the basics of setting it up for your use in the Amazon Alexa app, whether you have an Echo Dot, an Echo Spot or just a plain old Echo classic: https://t.co/R9pWiJLtNG #alexa"
949219349671288832,0,0,"#Bluetooth Not Working on #AmazonEcho Devices? Here is a Fix - https://t.co/v4ohajzGfk

#AmazonEchoPlus #EchoDot #EchoShow #EchoSpot https://t.co/8ZKVLTVyWQ"
949090732203298817,0,0,"Amazon Echo Spot review: The alarm clock, reinvented https://t.co/7MjPIwCAvZ"
950457354004451328,0,0,"Product of the week: Introducing Echo Spot - White
https://t.co/PfwjILkgua https://t.co/8SMzepCHCi"
950442282909609984,0,0,Alexa Tip: Turn Echo Show or Echo Spot into a Photo Frame Slideshow https://t.co/k48BRat7Dd
949917297577283584,0,0,"Amazon’s Echo Spot Is a Good-as-Hell Alarm Clock
https://t.co/ffYtmbUPCC"
950407207522328582,0,0,Amazon Echo Spot review | Stuff https://t.co/veCVVko1TC via @StuffTV
949323146934542338,0,0,Alexa Tip: Turn Echo Show or Echo Spot into a Photo Frame Slideshow https://t.co/fhmsueRoHh
950409159953887233,1,1,This week's LME #AmazonAlexa #eastereggs https://t.co/ETKIUK2AxU #Alexa #AmazonEcho #EchoDot #EchoSpot #humor #smarthome https://t.co/EbfWyqxRVt
950926743367553024,0,0,Buy Cheap #7: Echo Spot - White https://t.co/4tepj3ESkR
950427237798596611,0,0,Alexa Tip: Take a Selfie with Echo Show and Echo Spot https://t.co/KMmYhxXVgN
950640369104023552,0,1,Amazon's newest Echo is designed to be the perfect smart alarm clock https://t.co/JXNFFSTtBS
